artist,artist_followers,artist_genre,artist_hot,artist_id,duration,end_fade,key,key_con,loud,mode,mode_con,publish_date,start_fade,temp,time_sig,time_sig_con,track,track_id,track_pop
Lady Gaga,6057212.0,"dance pop,pop",0.92,1HY2Jd0NmPuamShAr6KMms,212.33333,0.30181,7.0,0.88,-4.287,0.0,0.629,2014-01-29,204.86385,139.945,4.0,1.0,Applause,2Zj4FUsMtu9PMuJsHbGbdv,70.0
Cassadee Pope,145671.0,"canadian contemporary country,contemporary country,pop emo,viral pop",0.6,7ahuvq1mbb4idwG1iJbSFG,215.64,0.22009,5.0,0.296,-3.915,0.0,0.506,2014-01-29,206.49506,155.865,4.0,0.941,Wasting All These Tears,25zXRQGuwYZdIp88fVZOPC,50.0
Eli Young Band,451786.0,"canadian contemporary country,contemporary country,country,country road,heartland rock,modern country rock,outlaw country,red dirt,texas country",0.65,6eKWqnckwdIlSnjaYgIyxv,219.21333,1.03338,7.0,0.604,-4.605,1.0,0.613,2014-01-29,209.53107,87.019,4.0,0.943,Drunk Last Night,4hnK8P3v7kE7T4PMBYwRhu,55.0
August Alsina Featuring Trinidad James,,,,,,,,,,,,2014-01-29,,,,,I Luv This Sh*t,,
Flo Rida,6539825.0,"dance pop,edm,pop,pop rap",0.81,0jnsk9HBra6NMjO2oANoPY,169.55728,0.20331,7.0,0.676,-1.691,0.0,0.863,2014-01-29,165.41896,127.985,4.0,0.908,How I Feel,3et1SjQkOhOSUl9vzfDzlx,51.0
Fall Out Boy,5541710.0,"emo,modern rock,pop punk",0.83,4UXqAaa6dQYAk18Lv7PEgX,203.41333,0.63737,4.0,0.041,-3.713,1.0,0.209,2014-01-29,203.41333,90.013,4.0,0.997,Alone Together,5MsZIaCYY6Tsdph0LiB0hE,61.0
Justin Bieber,25641289.0,"canadian pop,dance pop,pop,post-teen pop",0.9,1uNFoZAHBGtllmzznpCI3s,191.17333,0.0,6.0,0.067,-5.567,0.0,0.38,2014-01-29,168.65234,129.859,4.0,1.0,All That Matters,70XP39KE8vTgxtRXcwfxJA,57.0
Enrique Iglesias Featuring Marco Antonio Solis,,,,,,,,,,,,2014-02-05,,,,,El Perdedor,,
Keith Urban And Miranda Lambert,,,,,,,,,,,,2014-02-05,,,,,We Were Us,,
Parmalee,87782.0,"canadian contemporary country,contemporary country,country,country road,lift kit,modern country rock,modern uplift",0.55,4TshyQDihSYXSWqvclXl3I,201.34667,0.201,10.0,0.684,-3.53,1.0,0.678,2014-02-05,193.66603,159.824,4.0,1.0,Carolina,7JKUEuxOW5NNieEjoW59sH,56.0
Darius Rucker,1059327.0,"contemporary country,country,country road,modern country rock",0.7,7FY5V3XMwlNBPitEjXowHQ,190.14667,0.16063,0.0,0.679,-6.836,1.0,0.636,2014-02-05,185.50422,185.939,4.0,1.0,Radio,0uMur9BAwuzsShojxBi6ag,46.0
Kacey Musgraves,352018.0,"contemporary country,country dawn",0.7,70kkdajctXSbqSMJbQO424,199.64,0.17329,5.0,0.476,-5.933,1.0,0.493,2014-02-12,192.29025,98.03,4.0,1.0,Follow Your Arrow,4CLPNURPcKztF9RRdcWLGP,61.0
Kendrick Lamar Featuring MC Eiht,,,,,,,,,,,,2014-02-12,,,,,m.A.A.d City,,
Eric Church,1754817.0,"contemporary country,country,country road,modern country rock",0.75,2IvkS5MXK0vPGnwyJsrEyV,193.78667,0.15098,11.0,0.929,-16.482,1.0,0.868,2014-02-12,181.45234,144.077,4.0,0.985,A Man Who Was Gonna Die Young,4tLNKzcRv95bWCtwNpH4w6,47.0
The Band Perry,835518.0,"contemporary country,country,country dawn,country road,modern country rock",0.62,75FnCoo4FBxH5K1Rrx0k5A,251.22667,3.86032,1.0,0.777,-4.548,1.0,0.755,2014-02-12,239.51964,111.006,4.0,0.991,Don't Let Me Be Lonely,1vjx9wZEyhhM1VRmIoDiRk,41.0
Drake Featuring 2 Chainz ,,,,,,,,,,,,2014-02-19,,,,,All Me,,
 Big Sean,,,,,,,,,,,,2014-02-19,,,,,All Me,,
One Direction,11500250.0,"boy band,dance pop,pop,post-teen pop,talent show",0.84,4AK6F7OLvEQ5QYCBNiQWHq,176.32,0.3542,6.0,0.103,-2.01,0.0,0.402,2014-02-19,172.23982,156.128,4.0,1.0,Midnight Memories,5wjmqUGN7vrAqFqDWrywlZ,63.0
