artist,track,mean_rank,occurence,top10_occurence,artist_followers,artist_genre,artist_hot,artist_id,duration,end_fade,key,key_con,loud,mode,mode_con,publish_date,start_fade,temp,time_sig,time_sig_con,track_id,track_pop
Dustin Lynch,Good Girl,90.5,2,0,862654.0,"canadian contemporary country,contemporary country,country,country road,modern country rock",0.71,1dID9zgn0OV0Y8ud7Mh2tS,189.53333,1.03333,7.0,0.609,-5.05,1.0,0.794,2018-11-28,189.53334,80.512,4.0,1.0,5HnXcJJbNXQQ7tRlQ9VN1v,73.0
Dustin Lynch,Small Town Boy,48.68421052631579,19,0,862654.0,"canadian contemporary country,contemporary country,country,country road,modern country rock",0.71,1dID9zgn0OV0Y8ud7Mh2tS,205.73333,3.39011,9.0,0.613,-6.016,1.0,0.589,2017-11-01,198.10685,72.997,4.0,1.0,2YMhrXQYKkm4kXLcXKKd5z,73.0
Dylan Scott,Hooked,68.0,11,0,,,,,,,,,,,,2018-10-03,,,,,,
Dylan Scott,My Girl,60.53846153846154,13,0,341599.0,"canadian contemporary country,contemporary country,country road,lift kit,modern country rock",0.65,78YqeIji3mgAS2K1Maca6x,197.64,0.20313,1.0,0.356,-7.251,1.0,0.453,2017-09-20,179.97787,94.969,4.0,0.983,3izNaTiYdotdPL0Bs76JqO,68.0
Easton Corbin,A Girl Like You,98.0,1,0,444899.0,"contemporary country,country,country road,modern country rock",0.61,070kGpqtESdDsLb3gdMIyx,217.84,0.0,5.0,0.768,-4.405,1.0,0.547,2018-02-14,211.64989,104.989,4.0,1.0,3AsNVBJ7LHsltdu9490ZiS,63.0
Ed Sheeran,Castle On The Hill,28.09090909090909,11,0,36367511.0,pop,0.93,6eUKZXaKkcviH0Ku9w2n3V,261.1537,0.0,2.0,0.538,-4.868,1.0,0.645,2017-09-06,251.56499,135.007,4.0,0.979,6PCUP3dWmTjcTtXY02oFdT,80.0
Ed Sheeran,Perfect,14.09433962264151,53,24,,,,,,,,,,,,2018-10-03,,,,,,
Ed Sheeran,Shape Of You,16.916666666666668,36,11,36367531.0,pop,0.93,6eUKZXaKkcviH0Ku9w2n3V,233.71265,0.0,1.0,0.728,-3.183,0.0,0.647,2018-02-28,229.87755,95.977,4.0,0.981,7qiZfU4dY1lWllzX7mPBI3,86.0
Ella Mai,Boo'd Up,23.91176470588235,34,11,,,,,,,,,,,,2018-11-28,,,,,,
Ella Mai,Trip,31.375,16,0,788216.0,"indie r&b,pop,r&b,uk contemporary r&b,urban contemporary",0.82,7HkdQ0gt53LP4zmHsL0nap,213.9932,0.0,11.0,0.649,-5.628,0.0,0.619,2018-11-28,197.95011,79.882,4.0,0.972,6CTWathupIiDs7U4InHnDA,84.0
Ellie Goulding X Diplo Featuring Swae Lee,Close To Me,98.0,1,0,5587706.0,"dance pop,edm,electropop,metropopolis,pop,post-teen pop,r&b,tropical house",0.83,0X2BH1fck6amBIoJhDVmmJ,182.62336,0.20313,1.0,0.265,-5.029,0.0,0.478,2018-11-28,176.39039,144.111,4.0,0.97,5JEx7HbmvHQQswJCsoo9rA,88.0
Eminem,Fall,41.25,4,0,,,,,,,,,,,,2018-10-03,,,,,,
Eminem,Greatest,53.5,2,0,22174981.0,"detroit hip hop,g funk,hip hop,rap",0.95,7dGJo4pcD2V6oG8kP0tJRR,226.93755,0.0,1.0,0.311,-5.186,1.0,0.353,2018-09-19,226.93755,80.025,4.0,1.0,2XTquzYQAdT1Hk78bOUwsv,80.0
Eminem,Kamikaze,64.0,3,0,,,,,,,,,,,,,,,,,,
Eminem,Killshot,53.75,8,2,,,,,,,,,,,,2018-11-14,,,,,,
Eminem,Normal,39.0,1,0,22174979.0,"detroit hip hop,g funk,hip hop,rap",0.95,7dGJo4pcD2V6oG8kP0tJRR,222.47714,0.0,6.0,0.218,-6.542,1.0,0.344,2018-09-12,212.61351,120.995,4.0,1.0,0evt4UZbdhnHtcAnxkm6A1,77.0
Eminem,Stepping Stone,42.0,1,0,22174979.0,"detroit hip hop,g funk,hip hop,rap",0.95,7dGJo4pcD2V6oG8kP0tJRR,309.63791,0.08136,7.0,0.508,-6.032,1.0,0.575,2018-09-12,306.16671,179.503,4.0,1.0,60Z57Wdrn0pEVpHI7d7GAX,77.0
Eminem,The Ringer,50.25,4,1,,,,,,,,,,,,2018-10-03,,,,,,
Eminem,Untouchable,86.0,1,0,22174966.0,"detroit hip hop,g funk,hip hop,rap",0.95,7dGJo4pcD2V6oG8kP0tJRR,370.13333,0.0,7.0,0.395,-3.367,1.0,0.411,2017-12-27,366.38766,172.233,4.0,1.0,6IvespQWGW4USXwexlVKDm,59.0
Eminem,Venom,63.0,5,0,,,,,,,,,,,,2018-11-07,,,,,,
Eminem & Jessie Reyez,Nice Guy,65.0,1,0,,,,,,,,,,,,,,,,,,
Eminem Featuring Beyonce,Walk On Water,60.25,4,0,22174967.0,"detroit hip hop,g funk,hip hop,rap",0.95,7dGJo4pcD2V6oG8kP0tJRR,303.64,0.55134,9.0,0.329,-10.212,0.0,0.532,2018-01-03,303.64001,81.986,4.0,0.568,7CcoUAtUcYhUfBsmtn0ajO,69.0
Eminem Featuring Ed Sheeran,River,44.583333333333336,12,0,,,,,,,,,,,,2018-03-21,,,,,,
Eminem Featuring Jessie Reyez,Good Guy,67.0,1,0,22174979.0,"detroit hip hop,g funk,hip hop,rap",0.95,7dGJo4pcD2V6oG8kP0tJRR,142.19202,0.0,9.0,0.526,-6.918,0.0,0.513,2018-09-12,139.23265,89.973,4.0,0.96,4g32MdRoqwGKQd3NXIRhpU,76.0
Eminem Featuring Joyner Lucas,Lucky You,57.916666666666664,12,1,22174990.0,"detroit hip hop,g funk,hip hop,rap",0.95,7dGJo4pcD2V6oG8kP0tJRR,244.67905,2.89669,10.0,0.479,-4.884,0.0,0.581,2018-11-28,244.67905,153.068,4.0,0.861,60SdxE8apGAxMiRrpbmLY0,89.0
Eminem Featuring Royce Da 5'9,Not Alike,60.666666666666664,3,0,,,,,,,,,,,,2018-09-26,,,,,,
Enrique Iglesias Featuring Bad Bunny,El Bano,98.0,1,0,,,,7qG3b048QCHVRO5Pv1T5lw,,,,,,,,2018-01-24,,,,,2vvdTrdryjsl8DmPIMDWZU,73.0
"Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul",Subeme La Radio,93.2,5,0,,,,,,,,,,,,,,,,,,
Eric Church,Desperate Man,89.26666666666667,15,0,1754834.0,"contemporary country,country,country road,modern country rock",0.75,2IvkS5MXK0vPGnwyJsrEyV,208.73333,0.13855,10.0,0.98,-5.87,1.0,0.739,2018-11-28,203.65642,109.991,4.0,1.0,2VX37A1p7tkvrH2UJwAU0T,66.0
Eric Church,Round Here Buzz,77.55555555555556,18,0,,,,,,,,,,,,2018-02-07,,,,,,
Famous Dex,Japan,55.4,15,0,,,,,,,,,,,,2018-07-11,,,,,,
Famous Dex Featuring A$AP Rocky,Pick It Up,70.89473684210526,19,0,1228958.0,"drill,pop,pop rap,rap,southern hip hop,trap music,underground hip hop,vapor trap",0.78,0WOxhx4hikIsyF3CRPLC8W,191.25184,0.08662,1.0,0.782,-8.443,1.0,0.585,2018-04-04,185.57968,135.995,4.0,1.0,3ncgNpxLoBQ65ABk4djDyd,79.0
"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",Krippy Kush,86.33333333333333,6,0,,,,,,,,,,,,,,,,,,
Fifth Harmony Featuring Gucci Mane,Down,84.33333333333333,9,0,7013728.0,"dance pop,electropop,girl group,pop,post-teen pop,r&b,talent show",0.78,1l8Fu6IkuTP0U5QetQJ5Xt,165.2,0.06961,8.0,0.398,-7.094,1.0,0.516,2017-09-13,159.35855,196.121,4.0,1.0,0XQHz5C8PknyrEhyrKxVKa,68.0
Flipp Dinero,Leave Me Alone,65.9,10,0,65874.0,"trap music,vapor trap",0.76,2HUwZ0kumzCSlhFcjFZfpp,195.6371,0.10227,7.0,0.845,-2.806,1.0,0.703,2018-11-28,185.1327,150.024,4.0,0.877,14mHfNsSHN0FbLftyjrV9g,88.0
Florida Georgia Line,Simple,43.9,20,0,2303913.0,"contemporary country,country,country road,modern country rock",0.83,3b8QkneNDz4JHKKKlLgYZg,185.2,0.14499,3.0,0.326,-3.704,1.0,0.39,2018-10-24,181.09243,199.669,4.0,1.0,1co0puPTYvqAdUEjFOjne9,79.0
Florida Georgia Line,Smooth,93.14285714285714,7,0,2303913.0,"contemporary country,country,country road,modern country rock",0.83,3b8QkneNDz4JHKKKlLgYZg,170.2,4.60916,6.0,0.791,-5.355,1.0,0.785,2017-11-29,158.31946,161.049,4.0,1.0,31x4wWBghN7f5PiEZUmcAW,61.0
Florida Georgia Line Featuring Backstreet Boys,"God, Your Mama, And Me",66.875,8,0,2303913.0,"contemporary country,country,country road,modern country rock",0.83,3b8QkneNDz4JHKKKlLgYZg,183.41333,0.18617,7.0,0.649,-3.644,1.0,0.746,2017-08-16,171.58966,168.032,4.0,1.0,4VFE6ZNqa8jHAmbYICoAFg,70.0
Foster The People,Sit Next To Me,65.6,20,0,2343754.0,"indie pop,indietronica,la indie,modern alternative rock,modern rock,pop,rock",0.77,7gP3bB2nilZXLfPHJhMdvc,243.14667,0.23206,6.0,0.3,-4.976,0.0,0.419,2018-08-08,233.7785,97.021,4.0,1.0,4BdGO1CaObRD4La9l5Zanz,75.0
French Montana Featuring Drake,No Stylist,71.33333333333333,9,0,2204585.0,"hip hop,pop,pop rap,rap,southern hip hop,trap music",0.87,6vXTefBL93Dj5IqAWq6OTv,192.17243,0.0,5.0,0.419,-4.589,0.0,0.581,2018-11-28,181.93415,147.055,4.0,0.875,04MLEeAMuV9IlHEsD8vF6A,89.0
French Montana Featuring Swae Lee,Unforgettable,18.25,32,13,,,,,,,,,,,,2018-01-31,,,,,,
French Montana Featuring The Weeknd & Max B,A Lie,75.0,1,0,,,,,,,,,,,,,,,,,,
Future,31 Days,82.0,2,0,7380360.0,"pop,pop rap,rap,southern hip hop,trap music",0.92,1RyvyyTE3xzB2ZywiAwp0i,240.68227,0.0,1.0,0.664,-6.554,1.0,0.596,2018-07-25,237.44726,139.086,4.0,1.0,7MywASx2OFZngfoORjo1yy,67.0
Future,4 Da Gang,92.0,1,0,7380357.0,"pop,pop rap,rap,southern hip hop,trap music",0.92,1RyvyyTE3xzB2ZywiAwp0i,187.74871,0.0,2.0,0.5,-7.534,1.0,0.524,2017-11-08,182.26503,146.244,4.0,0.799,3IJ6BBFLD2I2CH3hHFQj3O,56.0
Future,Cuddle My Wrist,71.0,1,0,,,,,,,,,,,,2018-07-18,,,,,,
Future,Feed Me Dope,68.0,1,0,7380357.0,"pop,pop rap,rap,southern hip hop,trap music",0.92,1RyvyyTE3xzB2ZywiAwp0i,166.69333,0.0,8.0,0.709,-6.509,0.0,0.567,2017-11-08,155.77107,150.012,4.0,0.875,3lyeSiAIdLoZUHhV8psOTI,59.0
Future,Mask Off,24.666666666666668,15,3,,,,,,,,,,,,2017-10-04,,,,,,
Future,Racks Blue,76.0,1,0,,,,,,,,,,,,2018-07-18,,,,,,
Future,Wifi Lit,53.0,1,0,,,,,,,,,,,,2018-07-18,,,,,,
Future & Juice WRLD,Astronauts,82.0,1,0,,,,,,,,,,,,,,,,,,
Future & Juice WRLD,Fine China,53.6,5,0,,,,,,,,,,,,,,,,,,
Future & Juice WRLD Featuring Young Scooter,Jet Lag,72.0,1,0,,,,,,,,,,,,,,,,,,
Future & Young Thug,All Da Smoke,77.0,1,0,,,,,,,,,,,,,,,,,,
Future & Young Thug,No Cap,62.0,1,0,,,,,,,,,,,,,,,,,,
Future & Young Thug,Three,100.0,1,0,,,,,,,,,,,,,,,,,,
Future & Young Thug Featuring Offset,Patek Water,81.0,4,0,,,,,,,,,,,,,,,,,,
Future Featuring Nicki Minaj,You Da Baddest,62.5,2,0,7380357.0,"pop,pop rap,rap,southern hip hop,trap music",0.92,1RyvyyTE3xzB2ZywiAwp0i,242.93333,0.07542,7.0,0.0,-6.748,1.0,0.065,2017-08-23,236.919,154.023,4.0,1.0,4AFgK4wP1iD5i8BYaLr9Vf,63.0
Future Featuring YG,Extra Luv,99.0,1,0,,,,,,,,,,,,2017-07-19,,,,,,
G-Eazy,The Plan,96.0,1,0,3561536.0,"hip hop,indie pop rap,pop,pop rap,rap",0.86,02kJSzxNuaWGqwubyUba0Z,250.29333,0.0,1.0,0.575,-7.807,1.0,0.455,2017-11-29,239.29905,118.044,4.0,1.0,7fOPVfABNLg3sxtgXBhBdp,62.0
G-Eazy & Halsey,Him & I,21.63157894736842,19,0,,,,,,,,,,,,,,,,,,
G-Eazy Featuring A$AP Rocky & Cardi B,No Limit,29.5,28,6,,,,,,,,,,,,,,,,,,
G-Eazy Featuring Yo Gotti & YBN Nahmir,1942,81.25,8,0,,,,,,,,,,,,,,,,,,
Garth Brooks,Ask Me How I Know,86.28571428571429,7,0,,,,,,,,,,,,2017-12-20,,,,,,
GoldLink Featuring Brent Faiyaz & Shy Glizzy,Crew,59.476190476190474,21,0,,,,,,,,,,,,,,,,,,
Gorillaz Featuring George Benson,Humility,85.0,1,0,,,,,,,,,,,,2018-06-13,,,,,,
Gucci Mane Featuring Migos,I Get The Bag,25.03846153846154,26,0,2307854.0,"dirty south rap,hip hop,pop,pop rap,rap,southern hip hop,trap music",0.88,13y7CgLHjMVRMDqxdx0Xdo,233.08698,0.20671,11.0,0.612,-5.475,1.0,0.56,2018-02-28,210.16961,139.948,4.0,1.0,1XRgIKC5TPwo7nWGyKqgG0,79.0
Gucci Mane Featuring Slim Jxmmi & Young Dolph,Stunting Ain't Nuthin,95.0,1,0,,,,,,,,,,,,,,,,,,
Gucci Mane Featuring The Weeknd,Curve,76.66666666666667,3,0,2307852.0,"dirty south rap,hip hop,pop,pop rap,rap,southern hip hop,trap music",0.88,13y7CgLHjMVRMDqxdx0Xdo,161.98971,0.24045,8.0,0.426,-8.103,1.0,0.599,2017-11-01,155.71302,147.01,4.0,0.916,2yuyaYAELoMG4ApV5wJsWR,69.0
Gucci Mane X Bruno Mars X Kodak Black,Wake Up In The Sky,31.6,10,0,2307854.0,"dirty south rap,hip hop,pop,pop rap,rap,southern hip hop,trap music",0.88,13y7CgLHjMVRMDqxdx0Xdo,204.66467,0.24376,4.0,0.488,-5.144,0.0,0.332,2018-11-28,198.95438,143.01,4.0,1.0,0QIjsbm2fh1cJ45XO9eGqq,90.0
H.E.R.,Focus,100.0,1,0,,,,3Y7RZ31TRPVadSFVy1o8os,,,,,,,,2018-04-11,,,,,3tZs3nVjySLbL320lP4mvs,70.0
H.E.R. Featuring Bryson Tiller,Could've Been,76.0,1,0,,,,,,,,,,,,2018-08-15,,,,,,
Hailee Steinfeld,Most Girls,76.84615384615384,13,0,,,,,,,,,,,,2017-09-20,,,,,,
Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,Let Me Go,59.61904761904762,21,0,,,,,,,,,,,,,,,,,,
Halsey,Bad At Love,27.9375,32,8,,,,,,,,,,,,2018-04-25,,,,,,
Halsey,Now Or Never,22.818181818181817,11,0,4388536.0,"dance pop,electropop,etherpop,indie poptimism,pop,post-teen pop",0.91,26VFTg2z8YR0cCuwLzESi2,214.8019,0.18571,6.0,0.495,-4.861,0.0,0.548,2017-09-06,208.64871,110.03,4.0,1.0,7i2DJ88J7jQ8K7zqFX2fW8,75.0
Halsey,Without Me,10.857142857142858,7,4,4388539.0,"dance pop,electropop,etherpop,indie poptimism,pop,post-teen pop",0.91,26VFTg2z8YR0cCuwLzESi2,201.66068,0.27025,6.0,0.562,-7.05,1.0,0.585,2018-11-28,195.81388,136.041,4.0,1.0,5p7ujcrUXASCNwRaWNHR1C,96.0
Halsey Featuring Big Sean & Stefflon Don,Alone,79.92857142857143,14,0,,,,,,,,,,,,,,,,,,
Harry Styles,Sign Of The Times,50.5,4,0,,,,,,,,,,,,2017-07-19,,,,,,
High Valley,She's With Me,89.625,8,0,,,,,,,,,,,,2018-04-25,,,,,,
"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",The Greatest Show,91.75,4,0,,,,,,,,,,,,,,,,,,
Huncho Jack,Black & Chinese,71.0,1,0,,,,,,,,,,,,,,,,,,
Huncho Jack,Huncho Jack,87.0,1,0,,,,,,,,,,,,,,,,,,
Huncho Jack,Modern Slavery,68.0,1,0,,,,,,,,,,,,,,,,,,
Huncho Jack,Motorcycle Patches,90.0,1,0,,,,,,,,,,,,,,,,,,
Huncho Jack,Saint,92.0,1,0,,,,,,,,,,,,,,,,,,
Huncho Jack Featuring Offset,Dubai Shit,83.0,1,0,,,,,,,,,,,,,,,,,,
Huncho Jack Featuring Takeoff,Eye 2 Eye,65.0,1,0,,,,,,,,,,,,,,,,,,
Iggy Azalea Feauring Tyga,Kream,96.0,1,0,,,,,,,,,,,,2018-07-18,,,,,,
Imagine Dragons,Bad Liar,79.0,1,0,,,,,,,,,,,,2018-11-21,,,,,,
Imagine Dragons,Believer,15.393939393939394,33,14,,,,,,,,,,,,2018-02-07,,,,,,
Imagine Dragons,Natural,22.5,18,0,14308699.0,"modern rock,rock",0.94,53XhwfbYqKCa1cC15pYq2q,189.46667,0.2381,2.0,0.038,-6.112,1.0,0.551,2018-11-28,183.80916,100.0,4.0,1.0,2FY7b99s15jUprqC0M5NCT,87.0
Imagine Dragons,Thunder,28.155555555555555,45,16,,,,,,,,,,,,2018-05-02,,,,,,
Imagine Dragons,Whatever It Takes,31.5,26,0,14308689.0,"modern rock,rock",0.94,53XhwfbYqKCa1cC15pYq2q,201.24,0.33669,10.0,0.0,-5.021,0.0,0.158,2018-08-08,193.02748,134.945,4.0,1.0,6Qn5zhYkTa37e91HC1D7lb,83.0
Imagine Dragons + Khalid,Thunder/Young Dumb & Broke (Medley),69.0,1,0,,,,,,,,,,,,,,,,,,
J Balvin & Willy William Featuring Beyonce,Mi Gente,23.79310344827586,29,5,,,,,,,,,,,,,,,,,,
J. Cole,1985 (Intro To The Fall Off),49.5,2,0,,,,,,,,,,,,2018-05-09,,,,,,
J. Cole,ATM,51.2,5,1,6794744.0,"conscious hip hop,hip hop,pop rap,rap",0.88,6l3HvQ5sa6mXTsMTB19rO5,216.72685,2.26395,8.0,0.446,-7.661,1.0,0.503,2018-05-30,209.60653,81.651,4.0,1.0,2UciqgwVDwro0fev3MFbxJ,74.0
J. Cole,Album Of The Year (Freestyle),87.0,1,0,,,,,,,,,,,,2018-08-22,,,,,,
J. Cole,Brackets,30.0,1,0,,,,,,,,,,,,2018-05-02,,,,,,
J. Cole,Intro,53.0,1,0,,,,,,,,,,,,2018-05-02,,,,,,
J. Cole,KOD,57.0,12,0,,,,,,,,,,,,2018-07-18,,,,,,
J. Cole,Kevin's Heart,54.6,5,1,6794744.0,"conscious hip hop,hip hop,pop rap,rap",0.88,6l3HvQ5sa6mXTsMTB19rO5,200.30998,0.0,6.0,0.323,-6.644,0.0,0.394,2018-05-30,197.52635,116.078,4.0,0.977,6tZ3b7ik1QDXFAZlXib0YZ,75.0
J. Cole,Motiv8,43.0,2,0,,,,,,,,,,,,2018-05-09,,,,,,
J. Cole,Once An Addict (Interlude),47.0,1,0,,,,,,,,,,,,2018-05-02,,,,,,
J. Cole,Photograph,47.0,2,0,,,,,,,,,,,,2018-05-09,,,,,,
J. Cole,Window Pain (Outro),41.0,1,0,,,,,,,,,,,,2018-05-02,,,,,,
J. Cole Featuring kiLL edward,Friends,46.0,1,0,,,,,,,,,,,,,,,,,,
J. Cole Featuring kiLL edward,The Cut Off,28.0,1,0,,,,,,,,,,,,2018-05-02,,,,,,
JAY-Z,4:44,48.0,2,0,,,,,,,,,,,,2017-08-02,,,,,,
JAY-Z,Kill Jay Z,55.0,1,0,,,,,,,,,,,,2017-07-26,,,,,,
JAY-Z,Marcy Me,90.0,1,0,,,,,,,,,,,,2017-07-26,,,,,,
JAY-Z,Moonlight,86.0,1,0,,,,,,,,,,,,,,,,,,
JAY-Z,The Story Of O.J.,63.333333333333336,3,0,,,,,,,,,,,,2017-08-09,,,,,,
JAY-Z Featuring Beyonce,Family Feud,51.0,1,0,,,,,,,,,,,,2017-07-26,,,,,,
"JAY-Z Featuring Damian ""Jr. Gong"" Marely",Bam,47.0,1,0,,,,,,,,,,,,2017-07-26,,,,,,
JAY-Z Featuring Frank Ocean,Caught Their Eyes,63.0,1,0,,,,,,,,,,,,2017-07-26,,,,,,
JAY-Z Featuring Gloria Carter,Smile,56.0,1,0,,,,,,,,,,,,2017-07-26,,,,,,
Jacquees,B.E.D.,81.92307692307692,13,0,1065489.0,"deep pop r&b,indie r&b,pop,pop rap,r&b,rap,trap music,urban contemporary",0.75,4tMm1dU6Gn04VAZ9ClHcIZ,236.14667,0.0,1.0,1.0,-6.501,1.0,0.848,2017-11-15,214.78458,122.022,4.0,1.0,1B6TmCvKjC4dopBohVW51x,69.0
Jacquees X Dej Loaf,At The Club,90.28571428571429,7,0,1065493.0,"deep pop r&b,indie r&b,pop,pop rap,r&b,rap,trap music,urban contemporary",0.75,4tMm1dU6Gn04VAZ9ClHcIZ,173.05383,0.17179,7.0,0.643,-7.288,0.0,0.602,2018-03-28,166.5161,92.029,4.0,1.0,0NqZ65jPelNB13gzsvH2Ma,68.0
Jake Owen,I Was Jack (You Were Diane),72.18181818181819,11,0,,,,,,,,,,,,2018-08-15,,,,,,
Jake Paul & Erika Costell Featuring Uncle Kade,Jerika,86.0,1,0,,,,,,,,,,,,,,,,,,
Jake Paul Featuring Team 10,It's Everyday Bro,91.0,1,0,,,,,,,,,,,,2017-12-13,,,,,,
James Arthur,Say You Won't Let Go,29.263157894736842,19,0,2981956.0,"dance pop,pop,post-teen pop,talent show",0.84,4IWBUUAFIplrNtaOHcJPRM,211.46667,0.34862,10.0,0.186,-7.398,1.0,0.349,2017-11-01,201.82204,85.043,4.0,0.384,5uCax9HTNlzGybIStD3vDh,83.0
Janelle Monae,Make Me Feel,99.0,1,0,,,,,,,,,,,,2018-03-07,,,,,,
Janet & Daddy Yankee,Made For Now,88.0,1,0,,,,,,,,,,,,,,,,,,
Jason Aldean,Girl Like You,99.0,1,0,2648657.0,"contemporary country,country,country road",0.78,3FfvYsEGaIb52QPXhg4DcH,193.06667,0.29125,3.0,0.244,-4.204,0.0,0.374,2018-11-28,187.83202,144.057,4.0,1.0,7K0lR5Ngf5jkOWt1g6ut6l,70.0
Jason Aldean,They Don't Know,81.5,12,0,2648657.0,"contemporary country,country,country road",0.78,3FfvYsEGaIb52QPXhg4DcH,195.30667,0.15093,10.0,0.0,-2.248,0.0,0.304,2017-11-01,184.05878,171.945,4.0,0.983,3bzE57iNavJJxXL9GgBiOK,58.0
Jason Aldean,You Make It Easy,40.25,20,0,,,,,,,,,,,,2018-06-20,,,,,,
Jason Aldean Featuring Miranda Lambert,Drowns The Whiskey,63.78947368421053,19,0,,,,,,,,,,,,2018-11-07,,,,,,
Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,Swalla,56.875,8,0,,,,,,,,,,,,,,,,,,
Jason Mraz,Have It All,90.0,1,0,,,,,,,,,,,,2018-08-22,,,,,,
"Jay Rock, Kendrick Lamar, Future & James Blake",King's Dead,51.7,20,0,,,,,,,,,,,,,,,,,,
Jennifer Lopez Featuring DJ Khaled & Cardi B,Dinero,80.0,1,0,,,,,,,,,,,,,,,,,,
Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,Sativa,88.375,16,0,,,,,,,,,,,,2018-07-04,,,,,,
Jimmie Allen,Best Shot,69.1,10,0,12432.0,"canadian contemporary country,contemporary country,lift kit",0.65,147nKr9upHZSSxqCzh9j7c,195.05333,0.20299,4.0,0.65,-8.72,1.0,0.594,2018-11-28,184.37224,156.051,4.0,1.0,3VamXAvVMczcS2PTYtPfBQ,75.0
Jon Pardi,Heartache On The Dance Floor,67.94444444444444,18,0,604281.0,"contemporary country,country,country road,modern country rock",0.71,4MoAOfV4ROWofLG3a3hhBN,205.2,0.15692,9.0,0.392,-4.252,1.0,0.416,2017-11-15,194.83864,116.005,4.0,1.0,0w3Q14i073jLoew1hgJkwD,72.0
Jordan Davis,Singles You Up,72.57894736842105,19,0,65548.0,"canadian contemporary country,contemporary country",0.68,77kULmXAQ6vWer7IIHdGzI,182.6668,0.41787,7.0,0.473,-3.594,1.0,0.549,2018-06-20,177.21469,199.943,4.0,1.0,4LiMQ6G9n84rDUBs9wtwz6,71.0
Josh Turner,Hometown Girl,96.0,1,0,1102662.0,"contemporary country,country,country road,modern country rock",0.68,7vCtweS8UVAXTyau2j0rDT,215.08,0.18562,3.0,0.48,-5.442,0.0,0.528,2017-06-28,203.34295,155.934,4.0,0.836,5C6uh95eAL0RBTSGXKQwvk,69.0
Joyner Lucas & Chris Brown,Stranger Things,91.0,1,0,,,,,,,,,,,,,,,,,,
Juice WRLD,All Girls Are The Same,60.45,20,0,,,,,,,,,,,,2018-10-03,,,,,,
Juice WRLD,Armed And Dangerous,48.5,2,0,2075178.0,"rap,trap music",0.93,4MCBfE4596Uoi2O4DtmEMz,169.99909,0.23206,10.0,0.649,-6.702,1.0,0.476,2018-11-28,161.1639,130.032,4.0,1.0,6SAKXCj5jyF6IgPCPbZ5ra,87.0
Juice WRLD,Lean Wit Me,82.625,8,0,,,,,,,,,,,,2018-10-03,,,,,,
Juice WRLD,Legends,79.5,2,0,,,,,,,,,,,,2018-07-18,,,,,,
Juice WRLD,Lucid Dreams,9.428571428571429,28,24,2075177.0,"rap,trap music",0.93,4MCBfE4596Uoi2O4DtmEMz,239.83578,0.07537,6.0,0.161,-7.23,0.0,0.388,2018-11-28,226.81832,83.903,4.0,1.0,0s3nnoMeVWz3989MkNQiRf,93.0
Juice WRLD,Make It Back,92.0,1,0,,,,,,,,,,,,2018-10-31,,,,,,
Juice WRLD Featuring Lil Uzi Vert,Wasted,84.0,6,0,2075174.0,"rap,trap music",0.93,4MCBfE4596Uoi2O4DtmEMz,258.47528,0.24127,0.0,0.398,-5.024,1.0,0.497,2018-09-05,250.20662,144.994,4.0,1.0,3VFZTYhwAsxTDTiHlm3n1k,79.0
Julia Michaels,Issues,25.444444444444443,9,0,1188084.0,"dance pop,electropop,pop,post-teen pop",0.84,0ZED1XzwlLHW4ZaG4lOT6m,176.32,0.16249,8.0,0.462,-6.852,1.0,0.57,2017-08-23,171.68254,114.145,4.0,0.994,7vu0JkJh0ldukEYbTVcqd0,74.0
Justin Bieber + BloodPop,Friends,50.2,10,0,,,,,,,,,,,,,,,,,,
Justin Moore,Somebody Else Will,80.25,12,0,,,,,,,,,,,,2017-09-20,,,,,,
Justin Timberlake,Filthy,41.0,6,1,7287109.0,"dance pop,pop",0.83,31TPClRtHm23RisEBtV3X7,293.94667,0.29605,1.0,0.295,-5.771,1.0,0.379,2018-02-21,293.94666,97.002,4.0,0.994,1L3NV7VrCiuE8C5QlhdeQL,56.0
Justin Timberlake,Man Of The Woods,73.0,1,0,,,,,,,,,,,,2018-02-14,,,,,,
Justin Timberlake,Supplies,85.5,2,0,7287109.0,"dance pop,pop",0.83,31TPClRtHm23RisEBtV3X7,225.6,0.06984,11.0,0.335,-6.624,0.0,0.269,2018-02-14,211.80082,119.993,4.0,1.0,6jT85s2dZ55HBqjXYi2rfI,60.0
Justin Timberlake Featuring Chris Stapleton,Say Something,43.125,16,1,7287109.0,"dance pop,pop",0.83,31TPClRtHm23RisEBtV3X7,278.89333,0.15655,10.0,0.496,-7.031,1.0,0.429,2018-05-23,275.71374,97.04,4.0,1.0,09ts3GnICqYEU5PkQCpJK3,62.0
KIDS SEE GHOSTS,Cudi Montage,69.0,1,0,,,,,,,,,,,,2018-06-20,,,,,,
KIDS SEE GHOSTS,Feel The Love,47.0,1,0,,,,,,,,,,,,2018-06-20,,,,,,
