artist,track,mean_rank,occurence,top10_occurence,artist_followers,artist_genre,artist_hot,artist_id,duration,end_fade,key,key_con,loud,mode,mode_con,publish_date,start_fade,temp,time_sig,time_sig_con,track_id,track_pop
Cardi B Featuring Kehlani,Ring,53.388888888888886,18,0,5225708.0,"pop,rap",0.95,4kYSro6naA4h99UJvo89HB,177.13977,0.10993,1.0,0.809,-7.881,0.0,0.733,2018-11-28,168.48399,106.029,4.0,1.0,5DfWF0jqMgZDCiu9zJENTA,78.0
Cardi B Featuring Migos,Drip,62.4,10,0,5225703.0,"pop,rap",0.95,4kYSro6naA4h99UJvo89HB,262.30807,0.12848,11.0,0.704,-7.808,1.0,0.531,2018-06-20,257.82277,129.993,4.0,0.989,2qcG0nZ6S3zZV0UrkY5nFo,75.0
Cardi B Featuring SZA,I Do,64.0,5,0,5225703.0,"pop,rap",0.95,4kYSro6naA4h99UJvo89HB,200.20531,0.08163,7.0,0.628,-7.338,0.0,0.523,2018-05-16,189.16136,135.065,4.0,0.995,1f5PNhkNgUpvDEeZfcIlO1,74.0
"Cardi B, Bad Bunny & J Balvin",I Like It,9.515151515151516,33,21,,,,,,,,,,,,,,,,,,
Carly Pearce,Every Little Thing,75.05882352941177,17,0,56950.0,"canadian contemporary country,contemporary country",0.6,4sIl4BTo9l9KqEi0Y3RE72,180.05333,0.17429,0.0,0.17,-6.355,1.0,0.43,2017-12-06,168.58268,139.775,4.0,0.778,2wxfu24GQpEZQrjDJm5Ac1,61.0
Carrie Underwood,Cry Pretty,84.83333333333333,12,0,,,,,,,,,,,,2018-09-26,,,,,,
Carrie Underwood Featuring Ludacris,The Champion,57.666666666666664,3,0,,,,,,,,,,,,2018-03-14,,,,,,
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote,47.095238095238095,21,0,,,,,,,,,,,,,,,,,,
Chance The Rapper,I Might Need Security,60.0,1,0,3681157.0,"conscious hip hop,hip hop,pop,pop rap,rap",0.84,1anyVhU62p31KFi8MEzkbf,240.64,0.0,9.0,0.534,-5.868,1.0,0.623,2018-08-01,225.32644,110.568,3.0,0.087,3EApebexZ7YqDIqw2EMTDh,72.0
Charlie Puth,Attention,20.15625,32,9,,,,,,,,,,,,2018-01-31,,,,,,
